Title,File,Start Page,End Page,Key,Composer
Peri's Scope,realbook_hal_6th_Bb.pdf,326,326,Bb,Bill Evans
Pfrancing (No Blues),realbook_hal_6th_Bb.pdf,327,327,Bb,Miles Davis
Pinocchio,realbook_hal_6th_Bb.pdf,328,328,Bb,Wayne Shorter
Pithycanthropus Erectus,realbook_hal_6th_Bb.pdf,329,329,Bb,Charles Mingus
Portsmouth Figurations,realbook_hal_6th_Bb.pdf,330,330,Bb,Steve Swallow
Prelude To A Kiss,realbook_hal_6th_Bb.pdf,331,331,Bb,Duke Ellington/Irving Gordon/Irving Mills
Prince Of Darkness,realbook_hal_6th_Bb.pdf,332,332,Bb,Wayne Shorter
P.S. I Love You,realbook_hal_6th_Bb.pdf,333,333,Bb,Gordon Jenkins/Johnny Mercer
Pussy Cat Dues,realbook_hal_6th_Bb.pdf,334,334,Bb,Charles Mingus
Corcovado,realbook_hal_6th_Bb.pdf,335,335,Bb,Antonio Carlos Jobim/Gene Lees
Quiet Night Of Quiet Stars (Corcovado),realbook_hal_6th_Bb.pdf,335,335,Bb,Antonio Carlos Jobim/Gene Lees
Quiet Now,realbook_hal_6th_Bb.pdf,336,336,Bb,Denny Zeitlin
Recorda-Me,realbook_hal_6th_Bb.pdf,337,337,Bb,Joe Henderson
Red Clay,realbook_hal_6th_Bb.pdf,338,339,Bb,Freddie Hubbard
